"","use_function","dwc_term"
"1","use_occurrences()","basisOfRecord"
"2","use_occurrences()","occurrenceID"
"3","use_scientific_name()","scientificName"
"4","use_coordinates()","decimalLatitude"
"5","use_coordinates()","decimalLongitude"
"6","use_coordinates()","geodeticDatum"
"7","use_coordinates()","coordinateUncertaintyInMeters"
"8","use_datetime()","eventDate"
"9","use_locality()","continent"
"10","use_locality()","country"
"11","use_locality()","countryCode"
"12","use_locality()","stateProvince"
"13","use_locality()","locality"
"14","use_taxonomy()","kingdom"
"15","use_taxonomy()","phylum"
"16","use_taxonomy()","class"
"17","use_taxonomy()","order"
"18","use_taxonomy()","family"
"19","use_taxonomy()","genus"
"20","use_taxonomy()","specificEpithet"
"21","use_taxonomy()","vernacularName"
"22","use_abundance()","individualCount"
"23","use_abundance()","organismQuantity"
"24","use_abundance()","organismQuantityType"
"25","use_abundance()","organismQuantity"
"26","use_collection()","datasetID"
"27","use_collection()","datasetName"
"28","use_collection()","catalogNumber"
"29","use_coordinates()","coordinatePrecision"
"30","use_scientific_name()","scientificNameRank"
"31","use_scientific_name()","scientificNameAuthorship"
"32","use_datetime()","year"
"33","use_datetime()","month"
"34","use_datetime()","day"
"35","use_datetime()","eventTime"
"36","use_individual_traits()","individualID"
"37","use_individual_traits()","lifeStage"
"38","use_individual_traits()","sex"
"39","use_individual_traits()","vitality"
"40","use_individual_traits()","reproductiveCondition"
"41","use_observer()","recordedBy"
"42","use_observer()","recordedByID"
"43","use_events()","eventID"
"44","use_events()","eventType"
"45","use_events()","parentEventID"
